Data de compra;Nome no cartão;Final do Cartão;Categoria;Descrição;Parcela;Valor (em US$);Cotação (em R$);Valor (em R$)
07/01/2021;1;cartao 0001;Associação;AKIFRIOS ATACAREJO;2/2;$ 0,00;R$ 0,00;R$ 1.384,05
07/01/2021;1;cartao 0001;Associação;ATACADAO 047 AS;2/3;$ 0,00;R$ 0,00;R$ 1.429,57
05/02/2021;1;cartao 0001;-;Pag Fatura Boleto;Única;$ 0,00;R$ 0,00;R$ - 39.596,30
05/02/2021;1;cartao 0001;Associação;AKIFRIOS ATACAREJO;1/2;$ 0,00;R$ 0,00;R$ 732,04
24/02/2021;1;cartao 0001;-;Anuidade Diferenciada;11/12;$ 0,00;R$ 0,00;R$ 587,02
17/11/2020;1;cartao 0002;Serviços Profissionais;IG*PLUG4SALES;4/12;$ 0,00;R$ 0,00;R$ 2.341,73
07/02/2021;1;cartao 0002;Serviços Profissionais;FACEBK *F9E4HEDUJ2;Única;$ 0,00;R$ 0,00;R$ 6.362,10
13/02/2021;1;cartao 0002;Empresa para empresa;APPLECOMBILL;Única;$ 0,00;R$ 0,00;R$ 197,07
13/02/2021;1;cartao 0002;Serviços Profissionais;FACEBK *9UVVHF5UJ2;Única;$ 0,00;R$ 0,00;R$ 2.805,66
14/02/2021;1;cartao 0002;Educacional;ASA*MENTORIA M100K LTD;Única;$ 0,00;R$ 0,00;R$ 3.893,50
15/02/2021;1;cartao 0002;Serviços Profissionais;ZP          *LINCE WEB;Única;$ 0,00;R$ 0,00;R$ 2.255,53
15/02/2021;1;cartao 0002;Serviços de telecomunicações;EBN*CANVA04793 40;Única;$ 0,00;R$ 0,00;R$ 209,65
23/02/2021;1;cartao 0002;Empresa para empresa;APPLECOMBILL;Única;$ 0,00;R$ 0,00;R$ 328,85
05/01/2021;2;cartao 0003;Associação;ATACADAO 692 AS;2/3;$ 0,00;R$ 0,00;R$ 865,44
06/01/2021;2;cartao 0003;Associação;ATACADAO 692 AS;2/3;$ 0,00;R$ 0,00;R$ 622,78
13/01/2021;2;cartao 0003;Associação;ATACADAO 692 AS;2/3;$ 0,00;R$ 0,00;R$ 834,05
17/01/2021;2;cartao 0003;Associação;DESKONTAO LOJA 2;2/3;$ 0,00;R$ 0,00;R$ 1.371,47
29/01/2021;2;cartao 0003;Supermercados / Mercearia / Padarias / Lojas de Conveniência;J R DE AGUIAR HORTIFRU;Única;$ 0,00;R$ 0,00;R$ 154,78
02/02/2021;2;cartao 0003;Supermercados / Mercearia / Padarias / Lojas de Conveniência;RECIBOM SUPERMERCADOS;Única;$ 0,00;R$ 0,00;R$ 1.331,16
02/02/2021;2;cartao 0003;Associação;ATACADAO 692 AS;1/3;$ 0,00;R$ 0,00;R$ 1.267,84
04/02/2021;2;cartao 0003;Arte / Artesanato / Passatempo;MERCADOLIVRE*MERCADOL;Única;$ 0,00;R$ 0,00;R$ 1.287,25
04/02/2021;2;cartao 0003;Relacionados a Automotivo;POSTO PARAISO;Única;$ 0,00;R$ 0,00;R$ 599,00
05/02/2021;2;cartao 0003;Associação;DESKONTAO LOJA 2;1/3;$ 0,00;R$ 0,00;R$ 1.016,32
11/02/2021;2;cartao 0003;Relacionados a Automotivo;POSTO PARAISO;Única;$ 0,00;R$ 0,00;R$ 599,00
12/02/2021;2;cartao 0003;Supermercados / Mercearia / Padarias / Lojas de Conveniência;RECIBOM SUPERMERCADOS;Única;$ 0,00;R$ 0,00;R$ 1.109,11
13/02/2021;2;cartao 0003;Supermercados / Mercearia / Padarias / Lojas de Conveniência;J R DE AGUIAR HORTIFRU;Única;$ 0,00;R$ 0,00;R$ 319,81
